no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,0,1,2,0,0.0,0,224,2017,10,2,3,0.0,0.0,0.0,65.0,0,1
2,0,2,3,3,0.0,0,5,2018,11,6,4,0.0,0.0,0.0,106.68,1,1
1,0,2,1,0,0.0,0,1,2018,2,28,4,0.0,0.0,0.0,60.0,0,0
2,0,0,2,0,0.0,0,211,2018,5,20,4,0.0,0.0,0.0,100.0,0,0
2,0,1,1,3,0.0,0,48,2018,4,11,4,0.0,0.0,0.0,94.5,0,0
2,0,0,2,1,0.0,0,346,2018,9,13,4,0.0,0.0,0.0,115.0,1,0
2,0,1,3,0,0.0,0,34,2017,10,15,4,0.0,0.0,0.0,107.55,1,1
2,0,1,3,0,0.0,3,83,2018,12,26,4,0.0,0.0,0.0,105.61,1,1
3,0,0,4,0,0.0,0,121,2018,7,6,3,0.0,0.0,0.0,96.9,1,1
2,0,0,5,0,0.0,3,44,2018,10,18,4,0.0,0.0,0.0,133.44,3,1
1,0,1,0,3,0.0,0,0,2018,9,11,4,0.0,0.0,0.0,85.03,0,1
1,0,2,1,0,0.0,3,35,2018,4,30,4,0.0,0.0,0.0,140.4,1,1
2,0,2,1,3,0.0,0,30,2018,11,26,4,0.0,0.0,0.0,88.0,0,0
1,0,2,0,0,0.0,0,95,2018,11,20,4,0.0,0.0,0.0,90.0,2,0
2,0,0,2,0,0.0,0,47,2017,10,20,4,0.0,0.0,0.0,94.5,2,1
2,0,0,2,1,0.0,0,256,2018,6,15,4,0.0,0.0,0.0,115.0,1,0
1,0,1,0,0,0.0,0,0,2017,10,5,3,0.0,0.0,0.0,96.0,0,1
2,0,1,3,3,0.0,0,1,2017,8,10,4,0.0,0.0,0.0,96.0,1,1
2,0,2,2,0,0.0,0,99,2017,10,30,4,0.0,0.0,0.0,65.0,0,0
2,0,1,0,0,0.0,0,12,2017,10,4,3,0.0,0.0,0.0,72.0,0,1
2,0,2,2,0,0.0,0,99,2017,10,30,4,0.0,0.0,0.0,65.0,0,0
1,0,0,1,0,0.0,0,122,2018,11,25,2,0.0,0.0,0.0,67.0,0,1
2,0,2,4,0,0.0,0,2,2018,3,20,3,0.0,0.0,0.0,85.0,0,1
2,0,0,3,0,0.0,0,37,2018,10,13,3,0.0,0.0,0.0,105.0,0,1
2,0,2,1,3,0.0,0,130,2018,5,22,4,0.0,0.0,0.0,94.5,1,1
2,0,0,2,0,0.0,0,99,2018,4,28,4,0.0,0.0,0.0,114.3,1,1
2,0,1,1,0,0.0,0,60,2017,9,21,3,0.0,0.0,0.0,65.0,0,1
1,0,0,2,0,0.0,3,2,2018,5,19,0,0.0,0.0,0.0,110.0,0,0
1,0,1,2,0,0.0,0,37,2017,11,6,4,0.0,0.0,0.0,37.33,0,0
2,0,0,2,1,0.0,0,56,2017,9,17,3,0.0,0.0,0.0,82.0,0,1
2,0,1,1,0,0.0,3,3,2017,9,19,4,0.0,0.0,0.0,177.5,1,1
2,0,2,2,0,0.0,0,107,2018,11,13,4,0.0,0.0,0.0,87.5,1,1
0,2,0,3,0,0.0,1,56,2018,12,7,4,0.0,0.0,0.0,82.44,1,1
2,0,0,1,3,0.0,0,2,2018,1,9,4,0.0,0.0,0.0,69.5,1,1
2,0,0,2,0,0.0,0,72,2018,10,7,3,0.0,0.0,0.0,85.5,0,1
2,0,0,1,3,0.6931471805599453,0,23,2018,4,27,4,0.0,0.0,0.0,115.0,1,1
1,0,2,1,0,0.0,0,34,2018,6,19,4,0.0,0.0,0.0,81.0,0,0
2,0,0,1,0,0.0,0,289,2017,10,17,3,0.0,0.0,0.0,67.0,0,1
2,0,2,3,3,0.0,0,247,2018,11,19,4,0.0,0.0,0.0,63.75,0,0
2,0,2,1,0,0.0,3,186,2018,7,30,4,0.0,0.0,0.0,121.8,1,0
2,0,0,4,0,0.0,0,64,2018,11,1,4,0.0,0.0,0.0,93.6,2,1
2,0,0,2,0,0.0,0,35,2018,6,21,4,0.0,0.0,0.0,102.0,1,1
3,0,2,1,0,0.0,0,96,2018,4,10,4,0.0,0.0,0.0,121.8,1,1
2,0,1,1,3,0.0,0,41,2018,6,27,4,0.0,0.0,0.0,98.1,1,0
2,0,0,4,0,0.0,3,55,2017,11,18,3,0.0,0.0,0.0,60.0,1,1
2,0,0,3,0,0.0,0,146,2017,12,29,3,0.0,0.0,0.0,75.0,0,1
1,0,0,2,0,0.0,0,32,2017,11,20,3,0.0,0.0,0.0,73.0,0,1
2,0,0,1,1,0.0,0,55,2018,4,6,3,0.0,0.0,0.0,104.0,0,1
2,0,0,4,3,0.0,0,57,2018,11,1,4,0.0,0.0,0.0,79.2,1,1
1,0,1,3,0,0.0,3,7,2018,12,29,4,0.0,0.0,0.0,125.8,2,1
1,0,2,5,3,0.0,0,124,2018,5,30,4,0.0,0.0,0.0,87.95,0,1
2,0,2,2,1,0.0,0,169,2018,4,22,4,0.0,0.0,0.0,106.0,0,0
1,0,1,2,0,0.0,0,6,2018,5,16,4,0.0,0.0,0.0,136.67,1,1
2,0,0,4,0,0.0,3,51,2017,11,11,3,0.0,0.0,0.0,60.0,1,1
2,0,1,0,3,0.0,0,13,2018,6,13,4,0.0,0.0,0.0,89.0,2,1
2,0,1,3,0,0.0,0,100,2018,5,19,4,0.0,0.0,0.0,136.0,1,1
2,0,0,1,3,0.0,0,139,2018,7,28,4,0.0,0.0,0.0,94.5,1,1
2,0,1,2,0,0.0,0,117,2018,12,26,4,0.0,0.0,0.0,93.6,2,1
2,0,1,4,0,0.0,3,39,2018,4,20,4,0.0,0.0,0.0,120.6,0,0
2,0,0,3,0,0.0,3,86,2018,4,6,4,0.0,0.0,0.0,99.3,1,1
2,2,0,1,0,0.6931471805599453,5,2,2018,9,2,4,0.0,0.0,0.0,258.0,1,1
1,0,0,3,0,0.0,3,19,2018,5,3,4,0.0,0.0,0.0,120.12,2,1
1,0,0,2,0,0.0,0,192,2018,6,24,3,0.0,0.0,0.0,95.0,0,1
1,0,0,1,0,0.0,0,2,2017,9,10,1,0.0,0.0,0.0,0.0,1,1
2,0,2,1,0,0.0,0,86,2018,12,18,3,0.0,0.0,0.0,75.0,0,1
2,0,0,3,0,0.0,3,30,2018,10,5,4,0.0,0.0,0.0,157.5,2,1
2,0,0,2,0,0.0,3,179,2018,6,3,4,0.0,0.0,0.0,97.7,1,1
2,0,0,2,0,0.0,3,26,2018,4,15,4,0.0,0.0,0.0,142.0,0,0
2,0,0,1,0,0.0,0,55,2018,4,6,3,0.0,0.0,0.0,80.0,0,1
2,0,1,2,0,0.0,0,74,2018,4,25,4,0.0,0.0,0.0,85.5,1,1
2,0,0,3,0,0.0,0,143,2018,8,25,3,0.0,0.0,0.0,100.0,0,1
2,0,1,0,3,0.0,0,34,2018,11,14,4,0.0,0.0,0.0,88.0,2,1
2,0,1,1,0,0.6931471805599453,0,30,2018,8,29,4,0.0,0.0,0.0,122.85,1,1
2,0,0,2,0,0.0,0,177,2018,6,3,4,0.0,0.0,0.0,100.0,0,0
2,0,2,3,0,0.0,3,34,2017,10,25,3,0.0,0.0,0.0,75.0,0,1
2,0,1,4,0,0.0,3,18,2018,3,9,4,0.0,0.0,0.0,116.8,1,1
3,0,1,1,0,0.0,3,267,2018,12,31,4,0.0,0.0,0.0,121.5,0,1
2,0,1,2,0,0.0,0,64,2018,6,27,4,0.0,0.0,0.0,111.9,1,1
3,0,2,5,0,0.0,3,155,2018,6,28,4,0.0,0.0,0.0,121.55,2,0
2,0,0,5,0,0.0,0,46,2018,3,29,3,0.0,0.0,0.0,75.0,1,1
2,2,0,2,0,0.0,5,83,2018,4,1,4,0.0,0.0,0.0,159.3,0,0
2,0,0,5,0,0.0,3,128,2018,10,11,4,0.0,0.0,0.0,132.3,0,0
2,0,2,0,3,0.0,0,20,2018,12,25,4,0.0,0.0,0.0,88.0,2,1
2,0,1,4,0,0.0,3,40,2018,3,14,4,0.0,0.0,0.0,98.82,0,1
2,0,1,2,0,0.6931471805599453,3,46,2018,3,4,4,0.0,0.0,0.0,98.3,1,1
